each generation's max average throughput
605.893982,605.893982,609.412170,609.412170,609.412170,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,617.455383,617.455383,617.455383,617.455383,617.455383,617.455383,617.455383,617.455383,617.455383,617.455383,617.455383,617.455383,617.499451,617.499451,617.499451,617.499451,617.499451,617.499451,617.499451,617.499451,617.499451,617.499451,617.499451,617.655029,617.655029,617.655029,617.655029,617.655029,617.655029,617.655029,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,618.139282,618.139282,618.139282,618.139282,618.139282,


the 1st max average throughput times

BS TX power
MBS area 1,MBS area 2,MBS area 3,MBS area 4,CBSD 1,CBSD 2,CBSD 3,CBSD 4,CBSD 5,CBSD 6,CBSD 7,CBSD 8,CBSD 9,CBSD 10,
10.000,8.750,10.000,8.750,0.500,0.875,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,

max average throughput
605.893982

x,y,area,be blocked (1 : NLOS / 0 : LOS),be blocked number (>=1 : CBSD(x) / 0 : no),connect bs number (>=1 : CBSD / 0 : MBS),throughput (unit : M bps)
354,-1667,4,1,0,4,61.845070
1701,651,1,0,0,0,714.317871
-1885,1047,2,1,0,4,61.845070
-88,-1785,3,0,0,0,719.741638
1640,-1614,4,0,0,0,628.436951
1376,49,1,0,0,0,794.597656
-563,1811,2,0,0,0,683.627014
-1592,-1502,3,0,0,0,661.750427
1499,-867,4,0,0,0,709.650818
148,1490,1,1,0,2,77.539436
-1909,1389,2,0,0,0,621.125305
-1768,-1927,3,0,0,0,611.012634
446,-428,4,0,0,0,1005.958862
974,1714,1,0,0,0,691.643494
-354,1020,2,0,0,0,845.316528
-246,-535,3,0,0,0,1039.204834
1119,-1547,4,1,0,4,61.845070
1055,262,1,1,0,2,77.539436
-1390,1424,2,0,0,0,669.875916
-437,-1666,3,1,0,4,61.845070
730,-1823,4,0,0,0,673.666016
766,1147,1,0,0,0,794.099426
-598,1018,2,0,0,0,819.603210
-40,-1452,3,0,0,0,779.224976
160,-980,4,0,0,0,869.408691
1961,1819,1,0,0,0,604.609558
-1023,285,2,0,0,0,850.079529
-463,-752,3,0,0,0,922.400757
555,-1568,4,0,0,0,721.188354
108,1848,1,0,0,0,709.663391
-1376,1283,2,1,0,1,177.135788
-1509,-895,3,0,0,0,725.036682
1338,-1894,4,1,0,4,61.845070
1539,614,1,0,0,0,741.430847
-1973,1163,2,0,0,0,629.769043
-46,-537,3,0,0,0,1064.726807
1193,-621,4,0,0,0,782.154602
1641,1354,1,0,0,0,669.856323
-1472,105,2,1,0,4,61.845070
-675,-1188,3,0,0,0,796.798035
1794,-671,4,1,0,2,77.539436
1723,1668,1,0,0,0,635.681580
-1579,730,2,1,0,4,61.845070
-1706,-916,3,0,0,0,696.778015
859,-1536,4,0,0,0,705.023132
915,1111,1,0,0,0,781.860168
-1997,455,2,1,0,4,61.845070
-408,-2000,3,0,0,0,681.693481
1432,-470,4,0,0,0,749.462036
931,923,1,0,0,0,808.690979
-1034,1622,2,0,0,0,679.576294
-1210,-1039,3,0,0,0,752.388062
295,-1710,4,1,0,4,61.845070
1460,1038,1,1,0,2,77.539436
-1835,1126,2,0,0,0,647.397949
-1185,-677,3,0,0,0,797.138062
1368,-70,4,1,0,2,77.539436
1412,1077,1,0,0,0,721.561157
-420,696,2,1,0,2,77.539436
-1322,-1945,3,0,0,0,641.247681
720,-1867,4,0,0,0,668.289673
1589,1872,1,0,0,0,628.947632
-1210,1666,2,0,0,0,660.124939
-241,-1299,3,0,0,0,806.467712
1545,-1412,4,0,0,0,655.450745
1217,427,1,0,0,0,813.389954
-1433,1063,2,0,0,0,701.089600
-1588,-1839,3,0,0,0,631.946960
1801,-1392,4,0,0,0,631.518738
1302,1035,1,0,0,0,740.342651
-508,1228,2,0,0,0,785.597473
-992,-1935,3,0,0,0,663.616455
1792,-428,4,0,0,0,691.905396
427,236,1,0,0,0,1093.445679
-112,800,2,0,0,0,928.842102
-1001,-176,3,0,0,0,881.929443
972,-1034,4,0,0,0,766.735413
893,1116,1,0,0,0,783.859863
-76,253,2,0,0,0,1251.144653
-408,-1672,3,1,0,4,61.845070
1074,-1939,4,0,0,0,639.089111
1711,1537,1,0,0,0,647.596680
-1048,1388,2,0,0,0,708.406982
-1886,-321,3,0,0,0,700.234314
59,-698,4,1,0,4,61.845070
1428,699,1,0,0,0,753.284180
-941,1230,2,0,0,0,741.666687
-63,-839,3,0,0,0,936.349792
521,-1257,4,0,0,0,778.811462
1476,1320,1,0,0,0,690.379028
-397,740,2,0,0,0,917.663086
-839,-1411,3,0,0,0,744.103027
1496,-569,4,0,0,0,732.215759
724,999,1,0,0,0,826.147766
-1195,534,2,0,0,0,789.963623
-1153,-792,3,0,0,0,790.055237
1033,-507,4,0,0,0,826.988708
994,914,1,0,0,0,800.188599
-1025,1915,2,0,0,0,644.874268
-1572,-104,3,1,0,4,61.845070
1154,-1093,4,1,0,4,61.845070
597,1190,1,0,0,0,804.259399
-1470,1468,2,0,0,0,657.579468
-1749,-323,3,0,0,0,721.122864
1678,-1437,4,1,0,4,61.845070
1995,383,1,0,0,0,683.064270
-105,1154,2,0,0,0,824.982727
-205,-530,3,0,0,0,1049.463379
44,-775,4,0,0,0,940.321350
1358,963,1,0,0,0,740.078125
-863,408,2,0,0,0,880.759094
-180,-1482,3,0,0,0,771.357544
1403,-745,4,1,0,2,77.539436
1477,1463,1,0,0,0,676.456909
-1980,192,2,0,0,0,669.970276
-1493,-1125,3,0,0,0,706.853577
1472,-1348,4,0,0,0,669.012207
394,670,1,0,0,0,959.183044
-752,1725,2,1,0,2,77.539436
-1331,-1025,3,1,0,4,61.845070
1616,-811,4,0,0,0,697.286377
1737,1485,1,0,0,0,649.428650
-41,1450,2,0,0,0,760.443298
-192,-1423,3,0,0,0,782.537903
902,-1408,4,0,0,0,719.672668
534,1648,1,0,0,0,728.670105
-1905,1991,2,0,0,0,577.221130
-1648,-170,3,0,0,0,741.468140
142,-464,4,0,0,0,1075.753906
544,795,1,0,0,0,897.364075
-275,1972,2,1,0,2,77.539436
-412,-1672,3,0,0,0,730.387085
981,-1847,4,0,0,0,655.678894
448,1677,1,0,0,0,728.099487
-635,1531,2,0,0,0,722.200073
-171,-1081,3,1,0,4,61.845070
599,-1600,4,0,0,0,713.518433
1725,1662,1,0,0,0,636.006042
-1782,657,2,1,0,4,61.845070
-514,-1182,3,1,0,4,61.845070
23,-1347,4,0,0,0,781.675171
782,1112,1,0,0,0,798.260193
-1111,1719,2,0,0,0,661.831726
-44,-1619,3,0,0,0,747.973755
856,-679,4,1,0,4,61.845070
1277,1030,1,0,0,0,744.274109
-1962,1127,2,0,0,0,633.225159
-1138,-6,3,0,0,0,849.387024
1472,-1973,4,1,0,4,61.845070
1211,136,1,0,0,0,829.701965
-1312,629,2,0,0,0,759.572693
-1672,-772,3,1,0,4,61.845070
1462,-1780,4,1,0,4,61.845070
1336,1268,1,0,0,0,711.093750
-231,627,2,0,0,0,983.513916
-287,-1820,3,0,0,0,711.007202
1755,-661,4,0,0,0,686.833679
952,1076,1,0,0,0,782.378662
-198,244,2,0,0,0,1201.083008
-984,-1952,3,0,0,0,662.106140
614,-796,4,0,0,0,865.860596
947,1230,1,0,0,0,760.149292
-1313,1763,2,0,0,0,641.460815
-103,-1271,3,1,0,4,61.845070
1978,-354,4,0,0,0,667.091797
1355,210,1,1,0,2,77.539436
-300,42,2,0,0,0,1211.651367
-73,-195,3,0,0,0,1339.072998
1220,-540,4,0,0,0,784.467224
746,1511,1,0,0,0,736.597046
-836,1445,2,0,0,0,720.142395
-772,-1432,3,0,0,0,746.693787
91,-1008,4,1,0,4,61.845070
586,1274,1,0,0,0,789.337524
-1557,795,2,0,0,0,706.926758
-1069,-1941,3,0,0,0,658.224792
1574,-900,4,0,0,0,696.487366
1710,1199,1,0,0,0,675.146606
-582,485,2,0,0,0,947.329590
-1403,-975,3,0,0,0,732.642944
1529,-1950,4,0,0,0,607.352417
662,442,1,0,0,0,952.320312
-144,538,2,1,0,2,77.539436
-57,-823,3,1,0,4,61.845070
1110,-1143,4,1,0,4,61.845070
856,481,1,0,0,0,891.863892
-259,1703,2,0,0,0,711.158386
-230,-553,3,0,0,0,1034.312988
1258,-1330,4,0,0,0,693.728821
30,1995,1,0,0,0,688.208252
-1328,883,2,0,0,0,733.255249
-1107,-1347,3,0,0,0,726.828857
1547,-969,4,0,0,0,694.555115
1140,979,1,0,0,0,769.481201
-440,136,2,0,0,0,1090.822144
-1933,-1458,3,0,0,0,632.950073
1445,-1088,4,0,0,0,697.172974
491,1525,1,0,0,0,751.091736
-1361,1454,2,0,0,0,669.639465
-1875,-1634,3,0,0,0,625.303772
1735,-1669,4,1,0,4,61.845070
1048,1390,1,1,0,2,77.539436
-254,1278,2,1,0,2,77.539436
-1434,-172,3,0,0,0,780.865479
733,-776,4,1,0,4,61.845070
21,1144,1,1,0,2,77.539436
-1558,122,2,0,0,0,739.067383
-1981,-556,3,0,0,0,679.411255
1785,-1095,4,0,0,0,655.304810
1103,800,1,1,0,2,77.539436
-201,628,2,0,0,0,987.342346
-1304,-1302,3,0,0,0,710.971191
742,-1747,4,0,0,0,683.393372
1901,561,1,1,0,2,77.539436
-1665,1615,2,0,0,0,626.146484
-1843,-1779,3,0,0,0,616.907043
1112,-1461,4,0,0,0,692.894531
918,258,1,0,0,0,900.290894
-760,764,2,0,0,0,845.863159
-965,-1302,3,0,0,0,747.791809
1010,-635,4,0,0,0,816.602661
1643,210,1,1,0,2,77.539436
-1355,124,2,0,0,0,778.818298
-1670,-708,3,0,0,0,715.490356
1694,-1243,4,1,0,4,61.845070
100,229,1,1,0,0,374.838257
-1687,1065,2,0,0,0,669.144775
-1448,-1946,3,1,0,4,61.845070
1030,-148,4,0,0,0,855.931580
688,259,1,1,0,2,77.539436
-6,662,2,1,0,2,77.539436
-99,-370,3,1,0,4,61.845070
1097,-1344,4,0,0,0,709.123718
78,416,1,0,0,0,1134.429932
-1660,1106,2,0,0,0,669.193420
-1946,-795,3,0,0,0,673.283142
1754,-1857,4,0,0,0,598.721436
715,1804,1,0,0,0,696.163025
-896,283,2,0,0,0,885.305237
-489,-1623,3,1,0,4,61.845070
366,-719,4,1,0,4,61.845070
1717,722,1,0,0,0,707.894043
-473,1514,2,1,0,2,77.539436
-1927,-1216,3,0,0,0,650.261780
1296,-1573,4,0,0,0,663.041443
1884,1345,1,0,0,0,645.758911
-1041,1835,2,1,0,2,77.539436
