each generation's max average throughput
601.822205,603.882263,612.620300,615.960327,613.891174,613.891174,613.891174,613.891174,613.891174,613.891174,613.891174,613.891174,614.115112,614.115112,614.115112,614.115112,614.115112,614.115112,614.115112,614.115112,618.134583,614.115112,614.115112,614.115112,614.115112,614.115112,614.115112,614.115112,614.115112,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,


the 1st max average throughput times

BS TX power
MBS area 1,MBS area 2,MBS area 3,MBS area 4,CBSD 1,CBSD 2,CBSD 3,CBSD 4,CBSD 5,CBSD 6,CBSD 7,CBSD 8,CBSD 9,CBSD 10,CBSD 11,CBSD 12,CBSD 13,CBSD 14,CBSD 15,CBSD 16,CBSD 17,CBSD 18,CBSD 19,CBSD 20,CBSD 21,CBSD 22,CBSD 23,CBSD 24,CBSD 25,CBSD 26,CBSD 27,CBSD 28,CBSD 29,CBSD 30,
7.500,10.000,8.750,8.750,0.000,0.750,0.000,0.625,0.875,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.000,0.000,0.000,0.000,0.000,0.000,

max average throughput
601.822205

x,y,area,be blocked (1 : NLOS / 0 : LOS),be blocked number (>=1 : CBSD(x) / 0 : no),connect bs number (>=1 : CBSD / 0 : MBS),throughput (unit : M bps)
1216,-243,4,0,0,0,805.491516
973,1247,1,1,0,2,97.120094
-1830,1762,2,0,0,0,619.267090
-1475,-1475,3,0,0,0,656.415649
1171,-1010,4,1,0,2,97.120094
1382,891,1,0,0,0,702.400574
-1541,1624,2,0,0,0,655.294739
-424,-1491,3,0,0,0,741.399353
65,-22,4,0,0,0,1640.063843
355,916,1,0,0,0,850.312561
-418,1313,2,0,0,0,794.376831
-620,-1120,3,1,0,4,89.904404
354,-1667,4,1,0,4,89.904404
1701,651,1,0,0,0,673.154114
-1885,1047,2,1,0,5,102.994965
-88,-1785,3,0,0,0,700.617554
1640,-1614,4,0,0,0,628.436951
1376,49,1,0,0,0,753.288757
-563,1811,2,0,0,0,702.733582
-1592,-1502,3,0,0,0,642.695740
1499,-867,4,0,0,0,709.650818
148,1490,1,1,0,5,102.994965
-1909,1389,2,0,0,0,640.146179
-1768,-1927,3,0,0,0,592.046204
446,-428,4,0,0,0,1005.958862
974,1714,1,0,0,0,650.537476
-354,1020,2,0,0,0,864.529541
-246,-535,3,0,0,0,1019.955688
1119,-1547,4,1,0,4,89.904404
1055,262,1,1,0,2,97.120094
-1390,1424,2,0,0,0,688.966675
-437,-1666,3,1,0,4,89.904404
730,-1823,4,0,0,0,673.666016
766,1147,1,0,0,0,752.791138
-598,1018,2,0,0,0,838.806152
-40,-1452,3,0,0,0,760.053528
160,-980,4,0,0,0,869.408691
1961,1819,1,0,0,0,563.831665
-1023,285,2,0,0,0,869.294189
-463,-752,3,0,0,0,903.170776
555,-1568,4,0,0,0,721.188354
108,1848,1,0,0,0,668.510742
-1376,1283,2,1,0,5,102.994965
-1509,-895,3,0,0,0,705.907532
1338,-1894,4,1,0,4,89.904404
1539,614,1,0,0,0,700.208679
-1973,1163,2,0,0,0,648.804077
-46,-537,3,0,0,0,1045.475220
1193,-621,4,0,0,0,782.154602
1641,1354,1,0,0,0,628.814758
-1472,105,2,1,0,5,102.994965
-675,-1188,3,0,0,0,777.615906
1794,-671,4,1,0,2,97.120094
1723,1668,1,0,0,0,594.763367
-1579,730,2,1,0,5,102.994965
-1706,-916,3,0,0,0,677.678101
859,-1536,4,0,0,0,705.023132
915,1111,1,0,0,0,740.569153
-1997,455,2,1,0,5,102.994965
-408,-2000,3,0,0,0,662.611694
1432,-470,4,0,0,0,749.462036
931,923,1,0,0,0,767.364136
-1034,1622,2,0,0,0,698.678345
-1210,-1039,3,0,0,0,733.235596
295,-1710,4,1,0,4,89.904404
1460,1038,1,1,0,2,97.120094
-1835,1126,2,0,0,0,666.459412
-1185,-677,3,0,0,0,777.955688
1368,-70,4,1,0,2,97.120094
1412,1077,1,0,0,0,680.380737
-420,696,2,1,0,5,102.994965
-1322,-1945,3,0,0,0,622.224976
720,-1867,4,0,0,0,668.289673
1589,1872,1,0,0,0,588.057312
-1210,1666,2,0,0,0,679.203552
-241,-1299,3,0,0,0,787.280151
1545,-1412,4,0,0,0,655.450745
1217,427,1,0,0,0,772.057495
-1433,1063,2,0,0,0,720.214111
-1588,-1839,3,0,0,0,612.940308
1801,-1392,4,0,0,0,631.518738
1302,1035,1,0,0,0,699.122864
-508,1228,2,0,0,0,804.784058
-992,-1935,3,0,0,0,644.559082
1792,-428,4,0,0,0,691.905396
427,236,1,0,0,0,1051.966675
-112,800,2,0,0,0,948.077698
-1001,-176,3,0,0,0,862.710571
972,-1034,4,0,0,0,766.735413
893,1116,1,0,0,0,742.566223
-76,253,2,0,0,0,1270.406006
-408,-1672,3,1,0,4,89.904404
1074,-1939,4,0,0,0,639.089111
1711,1537,1,0,0,0,606.632080
-1048,1388,2,0,0,0,727.538513
-1886,-321,3,0,0,0,681.130554
59,-698,4,1,0,4,89.904404
1428,699,1,0,0,0,712.039795
-941,1230,2,0,0,0,760.825562
-63,-839,3,0,0,0,917.116638
521,-1257,4,0,0,0,778.811462
1476,1320,1,0,0,0,649.276245
-397,740,2,0,0,0,936.896423
-839,-1411,3,0,0,0,724.957092
1496,-569,4,0,0,0,732.215759
724,999,1,0,0,0,784.800781
-1195,534,2,0,0,0,809.152588
-1153,-792,3,0,0,0,770.877014
1033,-507,4,0,0,0,826.988708
994,914,1,0,0,0,758.872253
-1025,1915,2,0,0,0,663.932068
-1572,-104,3,1,0,5,102.994965
1154,-1093,4,1,0,2,97.120094
597,1190,1,0,0,0,762.937866
-1470,1468,2,0,0,0,676.654785
-1749,-323,3,0,0,0,701.997437
1678,-1437,4,1,0,2,97.120094
1995,383,1,0,0,0,641.982605
-105,1154,2,0,0,0,844.187927
-205,-530,3,0,0,0,1030.213257
44,-775,4,0,0,0,940.321350
1358,963,1,0,0,0,698.858826
-863,408,2,0,0,0,899.983276
-180,-1482,3,0,0,0,752.191223
1403,-745,4,1,0,2,97.120094
1477,1463,1,0,0,0,635.394714
-1980,192,2,0,0,0,689.061157
-1493,-1125,3,0,0,0,687.742615
1472,-1348,4,0,0,0,669.012207
394,670,1,0,0,0,917.741821
-752,1725,2,1,0,5,102.994965
-1331,-1025,3,1,0,4,89.904404
1616,-811,4,0,0,0,697.286377
1737,1485,1,0,0,0,608.457275
-41,1450,2,0,0,0,779.615051
-192,-1423,3,0,0,0,763.364258
902,-1408,4,0,0,0,719.672668
534,1648,1,0,0,0,687.473938
-1905,1991,2,0,0,0,596.155212
-1648,-170,3,0,0,0,722.324402
142,-464,4,0,0,0,1075.753906
544,795,1,0,0,0,855.956116
-275,1972,2,1,0,5,102.994965
-412,-1672,3,0,0,0,711.252991
981,-1847,4,0,0,0,655.678894
448,1677,1,0,0,0,686.904541
-635,1531,2,0,0,0,741.343689
-171,-1081,3,1,0,4,89.904404
599,-1600,4,0,0,0,713.518433
1725,1662,1,0,0,0,595.086487
-1782,657,2,1,0,5,102.994965
-514,-1182,3,1,0,4,89.904404
23,-1347,4,0,0,0,781.675171
782,1112,1,0,0,0,756.946594
-1111,1719,2,0,0,0,680.912476
-44,-1619,3,0,0,0,728.824707
856,-679,4,1,0,2,97.120094
1277,1030,1,0,0,0,703.046448
-1962,1127,2,0,0,0,652.265625
-1138,-6,3,0,0,0,830.179688
1472,-1973,4,1,0,4,89.904404
1211,136,1,0,0,0,788.350952
-1312,629,2,0,0,0,778.743896
-1672,-772,3,1,0,4,89.904404
1462,-1780,4,1,0,4,89.904404
1336,1268,1,0,0,0,669.937378
-231,627,2,0,0,0,1002.758667
-287,-1820,3,0,0,0,691.891846
1755,-661,4,0,0,0,686.833679
952,1076,1,0,0,0,741.087158
-198,244,2,0,0,0,1220.343018
-984,-1952,3,0,0,0,643.050964
614,-796,4,0,0,0,865.860596
947,1230,1,0,0,0,718.893127
-1313,1763,2,0,0,0,660.513733
-103,-1271,3,1,0,4,89.904404
1978,-354,4,0,0,0,667.091797
1355,210,1,1,0,2,97.120094
-300,42,2,0,0,0,1230.911743
-73,-195,3,0,0,0,1319.810547
1220,-540,4,0,0,0,784.467224
746,1511,1,0,0,0,695.384705
-836,1445,2,0,0,0,739.284302
-772,-1432,3,0,0,0,727.545776
91,-1008,4,1,0,4,89.904404
586,1274,1,0,0,0,748.036011
-1557,795,2,0,0,0,726.056885
-1069,-1941,3,0,0,0,639.175232
1574,-900,4,0,0,0,696.487366
1710,1199,1,0,0,0,634.088440
-582,485,2,0,0,0,966.568665
-1403,-975,3,0,0,0,713.506836
1529,-1950,4,0,0,0,607.352417
662,442,1,0,0,0,910.882080
-144,538,2,1,0,5,102.994965
-57,-823,3,1,0,4,89.904404
1110,-1143,4,1,0,4,89.904404
856,481,1,0,0,0,850.459656
-259,1703,2,0,0,0,730.292419
-230,-553,3,0,0,0,1015.064392
1258,-1330,4,0,0,0,693.728821
30,1995,1,0,0,0,647.111511
-1328,883,2,0,0,0,752.407776
-1107,-1347,3,0,0,0,707.698059
1547,-969,4,0,0,0,694.555115
1140,979,1,0,0,0,728.209290
-440,136,2,0,0,0,1110.077271
-1933,-1458,3,0,0,0,613.941650
1445,-1088,4,0,0,0,697.172974
491,1525,1,0,0,0,709.851318
-1361,1454,2,0,0,0,688.729919
-1875,-1634,3,0,0,0,606.309265
1735,-1669,4,1,0,2,97.120094
1048,1390,1,1,0,2,97.120094
-254,1278,2,1,0,5,102.994965
-1434,-172,3,0,0,0,761.692932
733,-776,4,1,0,4,89.904404
21,1144,1,1,0,5,102.994965
-1558,122,2,0,0,0,758.224304
-1981,-556,3,0,0,0,660.332397
1785,-1095,4,0,0,0,655.304810
1103,800,1,1,0,2,97.120094
-201,628,2,0,0,0,1006.587585
-1304,-1302,3,0,0,0,691.855896
742,-1747,4,0,0,0,683.393372
1901,561,1,1,0,2,97.120094
-1665,1615,2,0,0,0,645.175659
-1843,-1779,3,0,0,0,597.928711
1112,-1461,4,0,0,0,692.894531
918,258,1,0,0,0,858.880798
-760,764,2,0,0,0,865.076355
-965,-1302,3,0,0,0,728.642944
1010,-635,4,0,0,0,816.602661
1643,210,1,1,0,2,97.120094
-1355,124,2,0,0,0,798.001160
-1670,-708,3,0,0,0,696.370422
1694,-1243,4,1,0,2,97.120094
100,229,1,1,0,0,336.869293
-1687,1065,2,0,0,0,688.234619
-1448,-1946,3,1,0,4,89.904404
1030,-148,4,0,0,0,855.931580
688,259,1,1,0,2,97.120094
-6,662,2,1,0,5,102.994965
-99,-370,3,1,0,4,89.904404
1097,-1344,4,0,0,0,709.123718
78,416,1,0,0,0,1092.944946
